"DOTA_Tooltip_modifier_sect_seckill_base_a"       "秒杀"
"DOTA_Tooltip_modifier_sect_magic_base_b_description"       "英雄额外魔法伤害%spell_damage_pect%%。技能开启后，每秒造成魔法伤害%damage%，同时影响的敌方单位数量%count%。对召唤塔造成的伤害%extra_damage_pect%%。"
"DOTA_Tooltip_modifier_sect_magic_base_c"       "法师"
"DOTA_Tooltip_modifier_sect_magic_base_c_description"       "英雄额外魔法伤害%spell_damage_pect%%。技能开启后，对范围内所有的敌方单位添加冰冻效果，持续%ice_duration%秒。"
"DOTA_Tooltip_modifier_sect_flame_base_a"       "火焰"
"DOTA_Tooltip_modifier_sect_flame_base_a_description"       "每秒每层火焰灼烧造成%damage%点魔法伤害，最大累计%max_stack%层效果。"
"DOTA_Tooltip_modifier_sect_flame_base_b"       "火焰"
"DOTA_Tooltip_modifier_sect_flame_base_b_description"       "每秒每层火焰灼烧造成%damage%点魔法伤害，最大累计%max_stack%层效果。"
"DOTA_Tooltip_modifier_sect_flame_base_c"       "火焰"
"DOTA_Tooltip_modifier_sect_flame_base_c_description"       "每秒每层火焰灼烧造成%damage%点魔法伤害，最大累计%max_stack%层效果。"
"DOTA_Tooltip_modifier_sect_splash_base_a"       "溅射"
"DOTA_Tooltip_modifier_sect_splash_base_a_description"       "普通攻击造成%splash_damage_pct%的范围溅射伤害，溅射距离%splash_distance%格。"
"DOTA_Tooltip_modifier_sect_splash_base_b"       "溅射"
"DOTA_Tooltip_modifier_sect_splash_base_b_description"       "普通攻击造成%splash_damage_pct%的范围溅射伤害，溅射距离%splash_distance%格。"
"DOTA_Tooltip_modifier_sect_splash_base_c"       "溅射"
"DOTA_Tooltip_modifier_sect_splash_base_c_description"       "普通攻击造成%splash_damage_pct%的范围溅射伤害，溅射距离%splash_distance%格。"
"DOTA_Tooltip_modifier_sect_headshot_base_a"       "爆头"
"DOTA_Tooltip_modifier_sect_headshot_base_a_description"       "弹道爆炸的概率%crit_pect%%，爆炸范围%crit_radius%格，造成普通攻击伤害%damage_pect%%的爆炸伤害。"
"DOTA_Tooltip_modifier_sect_headshot_base_b"       "爆头"
"DOTA_Tooltip_modifier_sect_headshot_base_b_description"       "弹道爆炸的概率%crit_pect%%，爆炸范围%crit_radius%格，造成普通攻击伤害%damage_pect%%的爆炸伤害。"
"DOTA_Tooltip_modifier_sect_headshot_base_c"       "爆头"
"DOTA_Tooltip_modifier_sect_headshot_base_c_description"       "弹道爆炸的概率%crit_pect%%，爆炸范围%crit_radius%格，造成普通攻击伤害%damage_pect%%的爆炸伤害。"
"DOTA_Tooltip_modifier_sect_shock_base_a"       "闪电"
"DOTA_Tooltip_modifier_sect_shock_base_a_description"       "攻击触发闪电的概率%shock_pect%%，闪电造成的魔法伤害%shock_damage%，闪电伤害单位数量%shock_count%。"
"DOTA_Tooltip_modifier_sect_shock_base_b"       "闪电"
"DOTA_Tooltip_modifier_sect_shock_base_b_description"       "攻击触发闪电的概率%shock_pect%%，闪电造成的魔法伤害%shock_damage%，闪电伤害单位数量%shock_count%。"
"DOTA_Tooltip_modifier_sect_shock_base_c"       "闪电"
"DOTA_Tooltip_modifier_sect_shock_base_c_description"       "攻击触发闪电的概率%shock_pect%%，闪电造成的魔法伤害%shock_damage%，闪电伤害单位数量%shock_count%。"
"DOTA_Tooltip_modifier_sect_magcrit_base_a"       "法爆"
"DOTA_Tooltip_modifier_sect_magcrit_base_a_description"       "范围内英雄魔法暴击概率%spell_crit_pect%%，魔法暴击伤害%spell_crit_damage_pect%%。"
"DOTA_Tooltip_modifier_sect_magcrit_base_b"       "法爆"
"DOTA_Tooltip_modifier_sect_magcrit_base_b_description"       "范围内英雄魔法暴击概率%spell_crit_pect%%，魔法暴击伤害%spell_crit_damage_pect%%。"
"DOTA_Tooltip_modifier_sect_magcrit_base_c"       "法爆"
"DOTA_Tooltip_modifier_sect_magcrit_base_c_description"       "范围内英雄魔法暴击概率%spell_crit_pect%%，魔法暴击伤害%spell_crit_damage_pect%%。"
"DOTA_Tooltip_modifier_sect_black_art_base_a"       "妖术"
"DOTA_Tooltip_modifier_sect_black_art_base_a_description"       "本流派之外的所有流派激活棋子数量%sect_count%。"
"DOTA_Tooltip_modifier_sect_black_art_base_b"       "妖术"
"DOTA_Tooltip_modifier_sect_black_art_base_b_description"       "本流派之外的所有流派激活棋子数量%sect_count%。"
"DOTA_Tooltip_modifier_sect_black_art_base_c"       "妖术"
"DOTA_Tooltip_modifier_sect_black_art_base_c_description"       "本流派之外的所有流派激活棋子数量%sect_count%。"
"DOTA_Tooltip_modifier_sect_guard_base_a"       "守卫"
"DOTA_Tooltip_modifier_sect_guard_base_a_description"       "战斗开启召唤一个嘲讽守卫参与战斗。嘲讽守卫最大生命值%max_health%，间隔3秒嘲讽周围400码的敌方单位。"
"DOTA_Tooltip_modifier_sect_guard_base_b"       "守卫"
"DOTA_Tooltip_modifier_sect_guard_base_b_description"       "战斗开启召唤一个治疗守卫参与战斗。治疗守卫治疗周围500码的英雄单位，每秒回复最大生命值%heal_pect%%的气血。"
"DOTA_Tooltip_modifier_sect_guard_base_c"       "守卫"
"DOTA_Tooltip_modifier_sect_guard_base_c_description"       "战斗开启召唤一个泉水守卫参与战斗。泉水守卫以极快的速度攻击敌方单位。"
"DOTA_Tooltip_modifier_sect_transform_base_a"       "变身"
"DOTA_Tooltip_modifier_sect_transform_base_a_description"       "英雄开战时获得%mana%魔法值充能。"
"DOTA_Tooltip_modifier_sect_transform_base_b"       "变身"
"DOTA_Tooltip_modifier_sect_transform_base_b_description"       "英雄开战时获得%mana%魔法值充能。"
"DOTA_Tooltip_modifier_sect_transform_base_c"       "变身"
"DOTA_Tooltip_modifier_sect_transform_base_c_description"       "全队英雄开战时获得%mana%魔法值充能,魔法恢复%mana_regen%。"
"DOTA_Tooltip_modifier_sect_demon_base_a"       "恶魔"
"DOTA_Tooltip_modifier_sect_demon_base_a_description"       "提升周围英雄%damage_pect%%的额外全伤害输出。"
"DOTA_Tooltip_modifier_sect_demon_base_b"       "恶魔"
"DOTA_Tooltip_modifier_sect_demon_base_b_description"       "提升周围英雄%damage_pect%%的额外全伤害输出。恶魔流棋子死亡后，则杀死1名其他流派的队友，吸取其攻击力，复活并分裂自己。"
"DOTA_Tooltip_modifier_sect_demon_base_c"       "恶魔"
"DOTA_Tooltip_modifier_sect_demon_base_c_description"       "提升周围英雄%damage_pect%%的额外全伤害输出。恶魔流棋子在杀死敌方单位时，在其周围释放毁灭能量，造成275码范围内攻击力%pure_damage_pect%%的纯粹伤害。"
"DOTA_Tooltip_modifier_sect_cannibalism_base_a"       "食人"
"DOTA_Tooltip_modifier_sect_cannibalism_base_a_description"       "单次吞噬最大敌方单位数量%count%，继承吞噬单位%prop_pect%%的基础属性。"
"DOTA_Tooltip_modifier_sect_cannibalism_base_b"       "食人"
"DOTA_Tooltip_modifier_sect_cannibalism_base_b_description"       "单次吞噬最大敌方单位数量%count%，继承吞噬单位%prop_pect%%的基础属性。"
"DOTA_Tooltip_modifier_sect_cannibalism_base_c"       "食人"
"DOTA_Tooltip_modifier_sect_cannibalism_base_c_description"       "单次吞噬最大敌方单位数量%count%，继承吞噬单位%prop_pect%%的基础属性。"
"DOTA_Tooltip_modifier_sect_invent_base_a"       "发明"
"DOTA_Tooltip_modifier_sect_invent_base_a_description"       "回合结束后己方英雄若存活，进行一次发明，获得一件普通的宝物。"
"DOTA_Tooltip_modifier_sect_invent_base_b"       "发明"
"DOTA_Tooltip_modifier_sect_invent_base_b_description"       "回合结束后己方英雄若存活，进行一次发明，获得一件稀有的宝物。"
"DOTA_Tooltip_modifier_sect_invent_base_c"       "发明"
"DOTA_Tooltip_modifier_sect_invent_base_c_description"       "回合结束后己方英雄若存活，进行一次发明，获得一件传奇的宝物。"
"DOTA_Tooltip_modifier_sect_fish_chess_base_a"       "钓鱼"
"DOTA_Tooltip_modifier_sect_fish_chess_base_a_description"       "战斗回合结束后，%prop_pect%%概率钓到拥有钓鱼流派的英雄。"
"DOTA_Tooltip_modifier_sect_fish_chess_base_b"       "钓鱼"
"DOTA_Tooltip_modifier_sect_fish_chess_base_b_description"       "战斗回合结束后，%prop_pect%%概率钓到场上同流派的英雄。"
"DOTA_Tooltip_modifier_sect_fish_chess_base_c"       "钓鱼"
"DOTA_Tooltip_modifier_sect_fish_chess_base_c_description"       "战斗回合结束后，场上所有的英雄都有%prop_pect%%概率升星。"
