"DOTA_Tooltip_modifier_sect_seckill_base_a"       "秒杀"
"DOTA_Tooltip_modifier_sect_shield_base_c_description"       "施加的护盾吸收%block_value%点伤害后破碎，对周围敌方单位造成护盾吸收伤害值的物理伤害。额外给队友施加护盾的概率为%prop_pect%%。"
"DOTA_Tooltip_modifier_sect_copy_base_a"       "复制"
"DOTA_Tooltip_modifier_sect_copy_base_a_description"       "己方棋子镜像破碎后，造成%damage%点范围伤害，%copy_pect%%概率召唤新的镜像。"
"DOTA_Tooltip_modifier_sect_copy_base_b"       "复制"
"DOTA_Tooltip_modifier_sect_copy_base_b_description"       "己方棋子镜像破碎后，造成%damage%点范围伤害，%copy_pect%%概率召唤新的镜像。"
"DOTA_Tooltip_modifier_sect_copy_base_c"       "复制"
"DOTA_Tooltip_modifier_sect_copy_base_c_description"       "己方棋子镜像破碎后，造成%damage%点范围伤害，%copy_pect%%概率召唤新的镜像。"
"DOTA_Tooltip_modifier_sect_summon_base_a"       "召唤"
"DOTA_Tooltip_modifier_sect_summon_base_a_description"       "召唤物的攻击力%summon_atk_pect%%，气血%summon_hp_pect%%，攻击速度%summon_atkspeed_pect%%。"
"DOTA_Tooltip_modifier_sect_summon_base_b"       "召唤"
"DOTA_Tooltip_modifier_sect_summon_base_b_description"       "召唤物的攻击力%summon_atk_pect%%，气血%summon_hp_pect%%，攻击速度%summon_atkspeed_pect%%。"
"DOTA_Tooltip_modifier_sect_summon_base_c"       "召唤"
"DOTA_Tooltip_modifier_sect_summon_base_c_description"       "召唤物的攻击力%summon_atk_pect%%，气血%summon_hp_pect%%，攻击速度%summon_atkspeed_pect%%。"
"DOTA_Tooltip_modifier_sect_warpath_base_a"       "战意"
"DOTA_Tooltip_modifier_sect_warpath_base_a_description"       "全队英雄的攻击力%atk_bonus_pect%%，可以被召唤物继承。"
"DOTA_Tooltip_modifier_sect_warpath_base_b"       "战意"
"DOTA_Tooltip_modifier_sect_warpath_base_b_description"       "全队英雄的攻击力%atk_bonus_pect%%，可以被召唤物继承。"
"DOTA_Tooltip_modifier_sect_warpath_base_c"       "战意"
"DOTA_Tooltip_modifier_sect_warpath_base_c_description"       "全队英雄的攻击力%atk_bonus_pect%%，可以被召唤物继承。"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_a"       "减甲"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_a_description"       "敌方英雄的物理护甲%phyarm_down%，友方棋子死后以灵魂形态参与战斗持续%duration%秒。"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_b"       "减甲"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_b_description"       "敌方英雄的物理护甲%phyarm_down%，友方棋子死后以灵魂形态参与战斗持续%duration%秒。"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_c"       "减甲"
"DOTA_Tooltip_modifier_sect_phyarm_down_base_c_description"       "敌方英雄的物理护甲%phyarm_down%，友方棋子死后以灵魂形态参与战斗持续%duration%秒。"
"DOTA_Tooltip_modifier_sect_atkspeed_base_a"       "攻速"
"DOTA_Tooltip_modifier_sect_atkspeed_base_a_description"       "全队攻击速度%atk_speed%。"
"DOTA_Tooltip_modifier_sect_atkspeed_base_b"       "攻速"
"DOTA_Tooltip_modifier_sect_atkspeed_base_b_description"       "全队攻击速度%atk_speed%。"
"DOTA_Tooltip_modifier_sect_atkspeed_base_c"       "攻速"
"DOTA_Tooltip_modifier_sect_atkspeed_base_c_description"       "全队攻击速度%atk_speed%。"
"DOTA_Tooltip_modifier_sect_betrayal_base_a"       "控场"
"DOTA_Tooltip_modifier_sect_betrayal_base_a_description"       "战斗过程中，每个我方棋子死亡会触发全场地刺，造成%duration%秒眩晕。"
"DOTA_Tooltip_modifier_sect_betrayal_base_b"       "控场"
"DOTA_Tooltip_modifier_sect_betrayal_base_b_description"       "战斗过程中，每个我方棋子死亡会触发全场地刺，造成%duration%秒眩晕。"
"DOTA_Tooltip_modifier_sect_betrayal_base_c"       "控场"
"DOTA_Tooltip_modifier_sect_betrayal_base_c_description"       "战斗过程中，每个我方棋子死亡会触发全场地刺，造成%duration%秒眩晕。"
"DOTA_Tooltip_modifier_sect_steal_base_a"       "窃取"
"DOTA_Tooltip_modifier_sect_steal_base_a_description"       "英雄杀死敌方时%prop_pect%%概率获得[%gold_min%,%gold_max%]金币奖励。"
"DOTA_Tooltip_modifier_sect_steal_base_b"       "窃取"
"DOTA_Tooltip_modifier_sect_steal_base_b_description"       "英雄杀死敌方时%prop_pect%%概率获得[%wood_min%,%wood_max%]木材奖励。"
"DOTA_Tooltip_modifier_sect_steal_base_c"       "窃取"
"DOTA_Tooltip_modifier_sect_steal_base_c_description"       "英雄杀死敌方时%prop_pect%%概率获得[%gold_min%,%gold_max%]金币和[%wood_min%,%wood_max%]木材奖励。"
"DOTA_Tooltip_modifier_sect_cd_down_base_a"       "冷却"
"DOTA_Tooltip_modifier_sect_cd_down_base_a_description"       "降低英雄的%cooldown_pect%%技能冷却时间。"
"DOTA_Tooltip_modifier_sect_cd_down_base_b"       "冷却"
"DOTA_Tooltip_modifier_sect_cd_down_base_b_description"       "降低英雄的%cooldown_pect%%技能冷却时间。"
"DOTA_Tooltip_modifier_sect_cd_down_base_c"       "冷却"
"DOTA_Tooltip_modifier_sect_cd_down_base_c_description"       "降低全队英雄的%cooldown_pect%%技能冷却时间。"
"DOTA_Tooltip_modifier_sect_magic_base_a"       "魔法"
"DOTA_Tooltip_modifier_sect_magic_base_a_description"       "己方英雄技能增强%spell_damage_pect%%，所有敌方英雄魔法护甲%magic_arm%点。"
"DOTA_Tooltip_modifier_sect_magic_base_b"       "魔法"
"DOTA_Tooltip_modifier_sect_magic_base_b_description"       "己方英雄技能增强%spell_damage_pect%%，所有敌方英雄魔法护甲%magic_arm%点。"
"DOTA_Tooltip_modifier_sect_magic_base_c"       "魔法"
"DOTA_Tooltip_modifier_sect_magic_base_c_description"       "己方英雄技能增强%spell_damage_pect%%，所有敌方英雄魔法护甲%magic_arm%点，受到魔法伤害会冰冻%duration%秒。"
"DOTA_Tooltip_modifier_sect_flame_base_a"       "火焰"
"DOTA_Tooltip_modifier_sect_flame_base_a_description"       "全队英雄技能暴击概率%spell_crit_pect%%。"
"DOTA_Tooltip_modifier_sect_flame_base_b"       "火焰"
"DOTA_Tooltip_modifier_sect_flame_base_b_description"       "全队英雄技能暴击概率%spell_crit_pect%%。"
"DOTA_Tooltip_modifier_sect_flame_base_c"       "火焰"
"DOTA_Tooltip_modifier_sect_flame_base_c_description"       "全队英雄技能暴击概率%spell_crit_pect%%。"
"DOTA_Tooltip_modifier_sect_splash_base_a"       "石化"
"DOTA_Tooltip_modifier_sect_splash_base_a_description"       "英雄受到普通攻击，%chance_pect%%概率使敌方石化%duration%秒"
"DOTA_Tooltip_modifier_sect_splash_base_b"       "石化"
"DOTA_Tooltip_modifier_sect_splash_base_b_description"       "英雄受到普通攻击，%chance_pect%%概率使敌方石化%duration%秒"
"DOTA_Tooltip_modifier_sect_splash_base_c"       "石化"
"DOTA_Tooltip_modifier_sect_splash_base_c_description"       "英雄受到普通攻击，%chance_pect%%概率使敌方石化%duration%秒"
"DOTA_Tooltip_modifier_sect_invent_base_a"       "发明"
"DOTA_Tooltip_modifier_sect_invent_base_a_description"       "回合结束后己方英雄若存活，进行一次发明，获得一件普通的宝物。"
"DOTA_Tooltip_modifier_sect_invent_base_b"       "发明"
"DOTA_Tooltip_modifier_sect_invent_base_b_description"       "回合结束后己方英雄若存活，进行一次发明，获得一件传奇的宝物。"
"DOTA_Tooltip_modifier_sect_invent_base_c"       "发明"
"DOTA_Tooltip_modifier_sect_invent_base_c_description"       "回合结束后己方英雄若存活，进行一次发明，获得一件伟大的宝物。"
"DOTA_Tooltip_modifier_sect_headshot_base_a"       "闪避"
"DOTA_Tooltip_modifier_sect_headshot_base_a_description"       "英雄闪避%miss_pect%%。"
"DOTA_Tooltip_modifier_sect_headshot_base_b"       "闪避"
"DOTA_Tooltip_modifier_sect_headshot_base_b_description"       "英雄闪避%miss_pect%%。"
"DOTA_Tooltip_modifier_sect_headshot_base_c"       "闪避"
"DOTA_Tooltip_modifier_sect_headshot_base_c_description"       "全队英雄闪避%miss_pect%%。"
"DOTA_Tooltip_modifier_sect_shock_base_a"       "吸血"
"DOTA_Tooltip_modifier_sect_shock_base_a_description"       "英雄攻击吸血%lifesteal_pect%%。"
"DOTA_Tooltip_modifier_sect_shock_base_b"       "吸血"
"DOTA_Tooltip_modifier_sect_shock_base_b_description"       "英雄攻击吸血%lifesteal_pect%%。"
"DOTA_Tooltip_modifier_sect_shock_base_c"       "吸血"
"DOTA_Tooltip_modifier_sect_shock_base_c_description"       "全队英雄攻击吸血%lifesteal_pect%%。"
"DOTA_Tooltip_modifier_sect_magcrit_base_a"       "冰冻"
"DOTA_Tooltip_modifier_sect_magcrit_base_a_description"       "全体敌方英雄攻击速度%atk_speed%，生命回复%health_regen%。"
"DOTA_Tooltip_modifier_sect_magcrit_base_b"       "冰冻"
"DOTA_Tooltip_modifier_sect_magcrit_base_b_description"       "全体敌方英雄攻击速度%atk_speed%，生命回复%health_regen%。"
"DOTA_Tooltip_modifier_sect_magcrit_base_c"       "冰冻"
"DOTA_Tooltip_modifier_sect_magcrit_base_c_description"       "全体敌方英雄攻击速度%atk_speed%，生命回复%health_regen%。"
"DOTA_Tooltip_modifier_sect_black_art_base_a"       "妖术"
"DOTA_Tooltip_modifier_sect_black_art_base_a_description"       "英雄法术吸血%spell_lifesteal%%。"
"DOTA_Tooltip_modifier_sect_black_art_base_b"       "妖术"
"DOTA_Tooltip_modifier_sect_black_art_base_b_description"       "英雄法术吸血%spell_lifesteal%%。"
"DOTA_Tooltip_modifier_sect_black_art_base_c"       "妖术"
"DOTA_Tooltip_modifier_sect_black_art_base_c_description"       "英雄法术吸血%spell_lifesteal%%。"
"DOTA_Tooltip_modifier_sect_fish_chess_base_a"       "钓鱼"
"DOTA_Tooltip_modifier_sect_fish_chess_base_a_description"       "战斗回合结束后，%prop_pect%%概率召唤相同流派的英雄置于等待区。"
"DOTA_Tooltip_modifier_sect_fish_chess_base_b"       "钓鱼"
"DOTA_Tooltip_modifier_sect_fish_chess_base_b_description"       "战斗回合结束后，%prop_pect%%概率召唤相同流派的英雄置于等待区。"
"DOTA_Tooltip_modifier_sect_fish_chess_base_c"       "钓鱼"
"DOTA_Tooltip_modifier_sect_fish_chess_base_c_description"       "战斗回合结束后，%prop_pect%%概率召唤相同流派的英雄置于等待区。"
"DOTA_Tooltip_modifier_sect_guard_base_a"       "守卫"
"DOTA_Tooltip_modifier_sect_guard_base_a_description"       "战斗开启召唤一个强力守卫参与战斗。"
"DOTA_Tooltip_modifier_sect_guard_base_b"       "守卫"
"DOTA_Tooltip_modifier_sect_guard_base_b_description"       "战斗开启召唤一个强力守卫参与战斗。"
"DOTA_Tooltip_modifier_sect_guard_base_c"       "守卫"
"DOTA_Tooltip_modifier_sect_guard_base_c_description"       "战斗开启召唤一个强力守卫参与战斗。"
"DOTA_Tooltip_modifier_sect_transform_base_a"       "变身"
"DOTA_Tooltip_modifier_sect_transform_base_a_description"       "英雄开战前%mana%魔法，释放变身技能。"
"DOTA_Tooltip_modifier_sect_transform_base_b"       "变身"
"DOTA_Tooltip_modifier_sect_transform_base_b_description"       "英雄释放变身技能后会创造%illusion_count%个强力镜像。"
"DOTA_Tooltip_modifier_sect_transform_base_c"       "变身"
"DOTA_Tooltip_modifier_sect_transform_base_c_description"       "英雄开战前%mana%魔法，释放变身技能。"
"DOTA_Tooltip_modifier_sect_demon_base_a"       "恶魔"
"DOTA_Tooltip_modifier_sect_demon_base_a_description"       "我方恶魔的所有伤害会附带额外%damage_pect%%的纯粹伤害。"
"DOTA_Tooltip_modifier_sect_demon_base_b"       "恶魔"
"DOTA_Tooltip_modifier_sect_demon_base_b_description"       "我方恶魔的所有伤害会附带额外%damage_pect%%的纯粹伤害。"
"DOTA_Tooltip_modifier_sect_demon_base_c"       "恶魔"
"DOTA_Tooltip_modifier_sect_demon_base_c_description"       "我方恶魔的所有伤害会附带额外%damage_pect%%的纯粹伤害。"
"DOTA_Tooltip_modifier_sect_cannibalism_base_a"       "食人"
"DOTA_Tooltip_modifier_sect_cannibalism_base_a_description"       "开战前吞噬前后左右队友，继承%prop_pect%%的队友基础属性。"
"DOTA_Tooltip_modifier_sect_cannibalism_base_b"       "食人"
"DOTA_Tooltip_modifier_sect_cannibalism_base_b_description"       "开战前吞噬前后左右队友，继承%prop_pect%%的队友基础属性。"
"DOTA_Tooltip_modifier_sect_cannibalism_base_c"       "食人"
"DOTA_Tooltip_modifier_sect_cannibalism_base_c_description"       "开战前吞噬前后左右队友，继承%prop_pect%%的队友基础属性。"
