"addon_game_name"       "棋盘奇兵"
"lang_FAQ_Question_8"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_8"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_9"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_9"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_FAQ_Question_10"       "野怪悬赏回合失败了会怎么样？会因此少一个英雄装备吗？"
"lang_FAQ_Answer_10"       "野怪悬赏回合失败后，失败的玩家将因此受到对应野怪造成的伤害，获得败补以及对应该回合悬赏中最左侧野怪的等级的随机装备。"
"lang_HUD_Shop_Home"       "首页"
"lang_HUD_Shop_Props"       "道具"
"lang_HUD_Shop_Resource"       "资源"
"lang_HUD_Shop_Star"       "星光商店"
"lang_HUD_Shop_Chest"       "宝瓶"
"lang_HUD_Shop_HotSale"       "热卖"
"lang_HUD_Shop_DailyLimitedSale"       "每日限购"
"lang_HUD_Shop_LimitedSale"       "限时购买"
"lang_LimitedSaleTime"       "限时"
"lang_Free"       "免费"
"lang_Shop_Buy_With_Money"       "￥{s:price}"
"lang_Error_Star_Not_Enough"       "星辉不足"
"lang_DialogBox_Buy_Success"       "购买成功"
"lang_DialogBox_Buy_Fail"       "购买失败"
"lang_DialogBox_Get_Success"       "领取成功"
"lang_DialogBox_Get_Fail"       "领取失败"
"lang_Payment_PleaseWait"       "请稍候，将在外部浏览器打开支付网页..."
"lang_Payment_WebPageOpened"       "已在外部浏览器打开支付网页"
"lang_Payment_Create_Fail"       "创建订单失败"
"lang_Shop_Goods_1"       "测试大礼包"
"lang_Shop_Goods_line_first"       "购买将会获得"
"lang_Shop_Goods_line"       "※ [item_name] × [item_num]"
"lang_Shop_Goods_limit_0"       "永久限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_1"       "每日限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_2"       "每周限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_3"       "每月限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_4"       "每年限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_5"       "每小时限购{d:current}/{d:total}"
"lang_Shop_Goods_limit_6"       "赛季限购{d:current}/{d:total}"
"lang_CDK"       "使用兑换码"
"lang_CDKResult"       "兑换物品"
"lang_ExchangeProductResult"       "符石碎片购买"
"lang_combination_rule"       "需要己方场上有此流派技能N个不同的棋子触发，效果叠加。"
"lang_DialogBox_Yes"       "确定"
"lang_DialogBox_No"       "取消"
"lang_DialogBox_Rcv"       "领取"
"lang_DialogBox_Not_Again"       "下次不再提醒"
"lang_ClickBlankClose"       "点击任意空白处或按下ESC关闭"
"lang_DialogBox_Buy"       "购买"
"lang_DialogBox_GotoOpen"       "去打开"
"lang_DialogBox_PleaseWait"       "请稍候..."
"lang_TimerTitle"       "倒计时"
"lang_Select_Difficulties"       "点击选择难度"
"lang_Help_new_player"       "带我通关难度{d:help_dif}，拿SR符石奖励哦"
"lang_CourierSelectionTitle"       "信使选择"
"lang_PlayerNotReady"       "准备中"
"lang_Feedback_Title"       "反馈"
"lang_Feedback_Good"       "好"
"lang_Feedback_Bad"       "坏"
"lang_Feedback_Placeholder"       "每一条反馈我们都会认真阅读，欢迎分享您对我们游戏的任何看法"
"lang_Feedback_Send"       "提交反馈"
"lang_Feedback_Success"       "反馈成功"
"lang_Feedback_Failure"       "反馈失败"
"lang_FishManPublish"       "渔夫游戏出品"
"lang_BugEmail"       "BUG反馈邮箱：imagine@fishmangames.net"
"lang_DiscordLink"       "FishManGames邀请您加入Discord群组"
"lang_Difficult_0"       "0.教学关卡"
"lang_Difficult_0_Description"       "不推荐熟悉塔防游戏的玩家游玩，本模式仅有30回合<br>每回合结束恢复80%的蓝量"
"lang_Difficult_1"       "1.有手就行"
"lang_Difficult_1_Description"       "45回合<br>每回合结束恢复70%的蓝量"
"lang_Difficult_2"       "2.清风微拂"
"lang_Difficult_2_Description"       "45回合<br>每回合结束恢复60%的蓝量<br>解锁普通怪物的技能"
"lang_Difficult_3"       "3.炉火纯青"
"lang_Difficult_3_Description"       "45回合<br>每回合结束恢复50%的蓝量<br>解锁普通怪物的技能<br>解锁挑战怪物技能"
"lang_Difficult_4"       "4.登峰造极"
"lang_Difficult_4_Description"       "45回合<br>每回合结束恢复40%的蓝量<br>解锁挑战怪物技能<br>解锁普通怪物的技能<br>解锁Boss技能<br>解锁通关掉落符石（每日首次双倍）"
"lang_Difficult_5"       "5.独孤求败"
"lang_Difficult_5_Description"       "45回合<br>每回合结束恢复30%的蓝量<br>解锁挑战怪物技能<br>解锁普通怪物的技能<br>解锁Boss技能<br>解锁通关掉落符石（每日首次双倍）<br>每回合对伤害种类有要求"
"lang_Difficult_6"       "6.血麻异变"
"lang_Difficult_6_Description"       "45回合<br>每回合结束恢复30%的蓝量<br>解锁挑战怪物技能<br>解锁普通怪物的技能<br>解锁Boss技能<br>解锁通关掉落符石（每日首次双倍）<br>每回合对伤害种类有要求<br>普通怪100%获得变异技能"
"lang_Difficult_1000"       "深渊炼狱"
"lang_Difficult_1000_Description"       "正常45回合，之后有额外的无尽回合，看看你的极限在哪里<br>每回合结束恢复20%的蓝量<br>解锁符石碎片掉落（每日首次通关双倍）"
"UnitStatPanel_Primary_tip"       "获取英雄熟练度经验，可以提升英雄等级，大幅度提升英雄属性。"
"UnitStatPanel_Prop_PerLevel"       "(每级获得{s:prop_per_level}点)"
"DOTA_HUD_Strength_Custom"       "力量"
"UnitStatPanel_StrengthDetails_Custom"       "= {s:strength_hp_bonus}点气血, {s:strength_hp_regen}点每秒气血回复"
"UnitStatPanel_StrengthDetails_Custom_Primary"       "= {s:primary_attribute_damage}点伤害 ,{s:strength_status_resistance}%状态抵抗（主属性加成）"
"DOTA_HUD_Agility_Custom"       "敏捷"
"UnitStatPanel_AgilityDetails_Custom"       "= {s:agility_attack_speed}攻击速度, {s:agility_physical_armor}点护甲"
"UnitStatPanel_AgilityDetails_Custom_Primary"       "= {s:primary_attribute_damage}点伤害 ,{s:agility_max_attack_speed}最大攻击速度（主属性加成）"
"DOTA_HUD_Intellect_Custom"       "智力"
"UnitStatPanel_IntellectDetails_Custom"       "= {s:intellect_mana_regen}点每秒魔法回复 ,{s:intellect_cooldown_reduction}%冷却缩减"
"UnitStatPanel_IntellectDetails_Custom_Primary"       "= {s:primary_attribute_damage}点伤害 ,{s:intellect_spell_amplify}%技能增强（主属性加成）"
"DOTA_HUD_TotalDamagePercent"       "<font color='#EEEEEE'>额外全伤害：</font>"
"DOTA_HUD_PhysicalDamagePercent"       "<font color='#ae2f28'>额外物理伤害：</font>"
"DOTA_HUD_MagicalDamagePercent"       "<font color='#5b93d1'>额外魔法伤害：</font>"
"DOTA_HUD_PureDamagePercent"       "<font color='#d8ae53'>额外纯粹伤害：</font>"
"DOTA_HUD_PhysicalArmor_Custom"       "物理防御："
"DOTA_HUD_MagicalArmor_Custom"       "魔法防御："
"Unit_Stats_Label_Outgoing"       "输出"
"Unit_Stats_Label_Other"       "其他"
"DOTA_HUD_IgnorePhysicalArmorPercent"       "物理防御穿透："
"DOTA_HUD_IgnoreMagicalArmorPercent"       "魔法防御穿透："
"DOTA_HUD_CooldownReduction"       "冷却缩减："
"DOTA_HUD_EnergyRegen"       "怒气恢复加成："
"DOTA_HUD_AttackCrit"       "物理暴击概率："
"DOTA_HUD_AttackCritDamage"       "物理暴击伤害："
"DOTA_HUD_SpellCrit"       "技能暴击概率："
"DOTA_HUD_SpellCritDamage"       "技能暴击伤害："
"DOTA_HUD_IncomingTotalDamagePercent"       "<font color='#EEEEEE'>受到全伤害：</font>"
"DOTA_HUD_IncomingPhysicalDamagePercent"       "<font color='#ae2f28'>受到物理伤害：</font>"
"DOTA_HUD_IncomingMagicalDamagePercent"       "<font color='#5b93d1'>受到魔法伤害：</font>"
"DOTA_HUD_IncomingPureDamagePercent"       "<font color='#d8ae53'>受到纯粹伤害：</font>"
"DOTA_HUD_LifeSteal"       "攻击吸血："
"DOTA_HUD_SpellLifeSteal"       "技能吸血："
"DOTA_HUD_ABILITYCASTRANGE"       "施法范围"
"DOTA_HUD_ABILITYCASTPOINT"       "施法前摇"
"DOTA_HUD_ABILITYDURATION"       "持续时间"
"DOTA_HUD_ABILITYCHANNELTIME"       "持续施法时间："
"DOTA_HUD_ABILITYDAMAGE"       "技能伤害"
"DOTA_HUD_ABILITYCOOLDOWN"       "冷却时间"
"lang_sellallitem"       "出售所有"
"lang_Buy2Bag"       "购买至背包"
"lang_PublicBag"       "公共背包"
"lang_PersonBag"       "个人背包"
"lang_EquipCombine"       "装备合成"
"lang_CombineEquipConfrimCant"       "无法合成"
"lang_CombineEquipConfrim"       "确认合成"
"lang_CombineEquipConfrimDesc"       "合成规则：三件相同等级的装备合成一件高等级的装备，但4星装备无法合成5星装备<br>定向合成(默认)：合成结果只会是三件当中的其中一件<br>随机合成（选中时）：合成结果会是任意装备"
"lang_CombineEquipRandom"       "随机合成"
"lang_CombineEquipNoAnimation"       "快速合成"
"lang_CombineEquipNoAnimationDesc"       "跳过合成动画"
"lang_GoldShop"       "金币商店"
"lang_WoodShop"       "木材商店"
"lang_RoundShop"       "回合商店"
"lang_RandomShop"       "随机商店"
"lang_RandomShopUnlock"       "将在{d:unlock_round}回合解锁"
"lang_RandomShopTime"       "下次刷新时间： <font color='#2A9BDC'>{d:min}分{d:sec}秒</font>"
"lang_RandomShopRefresh"       "刷新商店"
"lang_Module_15s_Prize"       "15秒奖励"
"lang_Module_Round_Result"       "回合结算"
"lang_Module_BattleRecordTitle"       "对战记录"
"lang_Notification_Plus_Auto_Gold"       "{s:player_name}通过会员功能自动领取了工资。"
"lang_Notification_Get_Item_from"       "{s:player_name}通过[{s:string_from}]获得了{s:item_get}"
"lang_Notification_Prize_Gold"       "[{s:string_from}]:您获得了{s:coin_gold}"
"lang_Notification_Prize_Wood"       "[{s:string_from}]:您获得了{s:coin_wood}"
"lang_Notification_Prize_SoulCrystal"       "[{s:string_from}]:您获得了{s:coin_soulcrystal}"
"lang_Welcome_to_our_game"       "欢迎游玩<font color='#ff8000'>{s:string_from}</font>"
"lang_Notification_Round_Result"       "{s:player_name}在第{s:roundindex}回合战斗{s:roundresult}，天梯分数{s:scorechange}。"
"lang_Notification_Round_ItemPrize"       "{s:player_name}在第{s:roundindex}回合战斗{s:roundresult}，奖励存档道具{s:item_get}。"
"lang_Round_record_des1_1"       "本轮天梯积分赌注:<font color='#f80606'>{s:battlescore}</font>。"
"lang_Round_record_des2_1"       "挑战胜利可随机获得1-2个装备宝箱。"
"lang_Round_record_des3_1"       "开战前可加倍天梯积分的赌注。"
"lang_Round_record_des1_2"       "本轮胜利后所有参战英雄获得熟练度:<font color='#f80606'>{s:heroexp}</font>。"
"lang_Round_record_des2_2"       "挑战胜利可随机获得1-2个装备宝箱。"
"lang_Round_record_des3_2"       "注意：挑战失败对信使造成<font color='#f80606'>{s:damage}</font>点伤害。"
"lang_ArtifactTitle"       "神器栏"
"lang_Artifact_Selector_title"       "选择一个神器"
"lang_Artifact_Selector_No_Want"       "全都不要"
"lang_hud_bp_active"       "启用"
"lang_hud_bp_buy_exp"       "购买经验"
"lang_hud_bp_title"       "战令通行证"
"lang_hud_bp_season"       "第{d:bp_season}季"
"lang_hud_bp_reward"       "奖励"
"lang_hud_bp_task"       "任务"
"lang_hud_bp_deadline"       "距离结束还有:{t:d:t:countdown_time}"
"lang_hud_bp_task_type_1"       "每周任务"
"lang_hud_bp_task_type_2"       "每日任务"
"lang_hud_bp_task_refresh_time"       "距离刷新还有:{t:d:t:countdown_time}"
"lang_hud_bp_goto_current_level"       "跳转至当前等级"
"lang_hud_bp_task_vip"       "高级版战令专属"
"lang_hud_bp_charge_courier"       "信使兑换"
"lang_hud_bp_charge_skin"       "皮肤兑换"
