"lang_population"       "人口"
"lang_Feedback_Send"       "提交反馈"
"lang_Feedback_Success"       "反馈成功"
"lang_Feedback_Failure"       "反馈失败"
"lang_FishManPublish"       "渔夫游戏出品"
"lang_BugEmail"       "BUG反馈邮箱：imagine@fishmangames.net"
"lang_DiscordLink"       "FishManGames邀请您加入Discord群组"
"lang_Difficult_0"       "0.教学关卡"
"lang_Difficult_0_Description"       "不推荐熟悉塔防游戏的玩家游玩，本模式仅有30回合<br>每回合结束恢复80%的蓝量"
"lang_Difficult_1"       "1.有手就行"
"lang_Difficult_1_Description"       "45回合<br>每回合结束恢复70%的蓝量"
"lang_Difficult_2"       "2.清风微拂"
"lang_Difficult_2_Description"       "45回合<br>每回合结束恢复60%的蓝量<br>解锁普通怪物的技能"
"lang_Difficult_3"       "3.炉火纯青"
"lang_Difficult_3_Description"       "45回合<br>每回合结束恢复50%的蓝量<br>解锁普通怪物的技能<br>解锁挑战怪物技能"
"lang_Difficult_4"       "4.登峰造极"
"lang_Difficult_4_Description"       "45回合<br>每回合结束恢复40%的蓝量<br>解锁挑战怪物技能<br>解锁普通怪物的技能<br>解锁Boss技能<br>解锁通关掉落符石（每日首次双倍）"
"lang_Difficult_5"       "5.独孤求败"
"lang_Difficult_5_Description"       "45回合<br>每回合结束恢复30%的蓝量<br>解锁挑战怪物技能<br>解锁普通怪物的技能<br>解锁Boss技能<br>解锁通关掉落符石（每日首次双倍）<br>每回合对伤害种类有要求"
"lang_Difficult_6"       "6.血麻异变"
"lang_Difficult_6_Description"       "45回合<br>每回合结束恢复30%的蓝量<br>解锁挑战怪物技能<br>解锁普通怪物的技能<br>解锁Boss技能<br>解锁通关掉落符石（每日首次双倍）<br>每回合对伤害种类有要求<br>普通怪100%获得变异技能"
"lang_Difficult_999"       "深渊炼狱"
"lang_Difficult_999_Description"       "正常45回合，之后有额外的无尽回合，看看你的极限在哪里<br>每回合结束恢复20%的蓝量<br>解锁符石碎片掉落（每日首次通关双倍）"
"UnitStatPanel_Primary_tip"       "获取英雄熟练度经验，可以提升英雄等级，大幅度提升英雄属性。"
"UnitStatPanel_Prop_PerLevel"       "(每级获得{s:prop_per_level}点)"
"DOTA_HUD_Strength_Custom"       "力量"
"UnitStatPanel_StrengthDetails_Custom"       "= {s:strength_hp_bonus}点气血, {s:strength_hp_regen}点每秒气血回复"
"UnitStatPanel_StrengthDetails_Custom_Primary"       "= {s:primary_attribute_damage}点伤害 ,{s:strength_status_resistance}%状态抵抗（主属性加成）"
"DOTA_HUD_Agility_Custom"       "敏捷"
"UnitStatPanel_AgilityDetails_Custom"       "= {s:agility_attack_speed}攻击速度, {s:agility_physical_armor}点护甲"
"UnitStatPanel_AgilityDetails_Custom_Primary"       "= {s:primary_attribute_damage}点伤害 ,{s:agility_max_attack_speed}最大攻击速度（主属性加成）"
"DOTA_HUD_Intellect_Custom"       "智力"
"UnitStatPanel_IntellectDetails_Custom"       "= {s:intellect_mana_regen}点每秒魔法回复 ,{s:intellect_cooldown_reduction}%冷却缩减"
"UnitStatPanel_IntellectDetails_Custom_Primary"       "= {s:primary_attribute_damage}点伤害 ,{s:intellect_spell_amplify}%技能增强（主属性加成）"
"DOTA_HUD_TotalDamagePercent"       "<font color='#EEEEEE'>额外全伤害：</font>"
"DOTA_HUD_PhysicalDamagePercent"       "<font color='#ae2f28'>额外物理伤害：</font>"
"DOTA_HUD_MagicalDamagePercent"       "<font color='#5b93d1'>额外魔法伤害：</font>"
"DOTA_HUD_PureDamagePercent"       "<font color='#d8ae53'>额外纯粹伤害：</font>"
"DOTA_HUD_PhysicalArmor_Custom"       "物理防御："
"DOTA_HUD_MagicalArmor_Custom"       "魔法防御："
"Unit_Stats_Label_Outgoing"       "输出"
"Unit_Stats_Label_Other"       "其他"
"DOTA_HUD_IgnorePhysicalArmorPercent"       "物理防御穿透："
"DOTA_HUD_IgnoreMagicalArmorPercent"       "魔法防御穿透："
"DOTA_HUD_CooldownReduction"       "冷却缩减："
"DOTA_HUD_EnergyRegen"       "怒气恢复加成："
"DOTA_HUD_AttackCrit"       "物理暴击概率："
"DOTA_HUD_AttackCritDamage"       "物理暴击伤害："
"DOTA_HUD_SpellCrit"       "技能暴击概率："
"DOTA_HUD_SpellCritDamage"       "技能暴击伤害："
"DOTA_HUD_IncomingTotalDamagePercent"       "<font color='#EEEEEE'>受到全伤害：</font>"
"DOTA_HUD_IncomingPhysicalDamagePercent"       "<font color='#ae2f28'>受到物理伤害：</font>"
"DOTA_HUD_IncomingMagicalDamagePercent"       "<font color='#5b93d1'>受到魔法伤害：</font>"
"DOTA_HUD_IncomingPureDamagePercent"       "<font color='#d8ae53'>受到纯粹伤害：</font>"
"DOTA_HUD_LifeSteal"       "攻击吸血："
"DOTA_HUD_SpellLifeSteal"       "技能吸血："
"DOTA_HUD_ABILITYCASTRANGE"       "施法范围"
"DOTA_HUD_ABILITYCASTPOINT"       "施法前摇"
"DOTA_HUD_ABILITYDURATION"       "持续时间"
"DOTA_HUD_ABILITYCHANNELTIME"       "持续施法时间："
"DOTA_HUD_ABILITYDAMAGE"       "技能伤害"
"DOTA_HUD_ABILITYCOOLDOWN"       "冷却时间"
