"DOTA_Tooltip_ability_imba_abaddon_death_coil"       "迷雾缠绕"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_ice_vortex_boost_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_ice_blast_kill_threshold_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_cold_feet_aoe_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_ancient_apparition_chilling_touch_range_Description"       "111"
"DOTA_Tooltip_ability_imba_arc_warden_flux"       "未定义"
"DOTA_Tooltip_ability_imba_arc_warden_flux_Description"       "111"
"DOTA_Tooltip_ability_imba_arc_warden_magnetic_field"       "磁场"
"DOTA_Tooltip_ability_imba_arc_warden_magnetic_field_Description"       "111"
"DOTA_Tooltip_ability_imba_arc_warden_spark_wraith"       "闪光幽魂"
"DOTA_Tooltip_ability_imba_arc_warden_spark_wraith_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_arc_warden_flux_cast_range_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_arc_warden_spark_wraith_cooldown_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_arc_warden_spark_wraith_damage_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_enfeeble"       "未定义"
"DOTA_Tooltip_ability_imba_bane_enfeeble_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_enfeeble_723_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_brain_sap"       "蚀脑"
"DOTA_Tooltip_ability_imba_bane_brain_sap_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_brain_sap_723_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_nightmare"       "噩梦"
"DOTA_Tooltip_ability_imba_bane_nightmare_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_nightmare_end"       "未定义"
"DOTA_Tooltip_ability_imba_bane_nightmare_end_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_fiends_grip"       "魔爪"
"DOTA_Tooltip_ability_imba_bane_fiends_grip_Description"       "111"
"DOTA_Tooltip_ability_imba_bane_fiends_grip_723_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_1_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_2_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_3_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_4_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_5_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_6_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_7_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_8_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_brain_sap_damage_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bane_fiends_grip_duration_Description"       "111"
"DOTA_Tooltip_ability_imba_batrider_sticky_napalm"       "未定义"
"DOTA_Tooltip_ability_imba_batrider_sticky_napalm_Description"       "111"
"DOTA_Tooltip_ability_imba_batrider_flamebreak"       "未定义"
"DOTA_Tooltip_ability_imba_batrider_flamebreak_Description"       "111"
"DOTA_Tooltip_ability_imba_batrider_firefly"       "未定义"
"DOTA_Tooltip_ability_imba_batrider_firefly_Description"       "111"
"DOTA_Tooltip_ability_imba_batrider_methane_boost_Description"       "111"
"DOTA_Tooltip_ability_imba_batrider_flaming_lasso"       "未定义"
"DOTA_Tooltip_ability_imba_batrider_flaming_lasso_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_unique_imba_batrider_methane_boost_distance_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_unique_imba_batrider_firefly_truesight_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_unique_imba_batrider_flamebreak_cooldown_Description"       "111"
"DOTA_Tooltip_ability_imba_beastmaster_summon_hawk_Description"       "111"
"DOTA_Tooltip_ability_imba_beastmaster_hawk_invis_Description"       "111"
"DOTA_Tooltip_ability_imba_beastmaster_summon_boar_Description"       "111"
"DOTA_Tooltip_ability_imba_beastmaster_boar_poison_Description"       "111"
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage"       "血怒"
"DOTA_Tooltip_ability_imba_bloodseeker_bloodrage_Description"       "111"
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath"       "血祭"
"DOTA_Tooltip_ability_imba_bloodseeker_blood_bath_Description"       "111"
"DOTA_Tooltip_ability_imba_bloodseeker_thirst"       "焦渴"
"DOTA_Tooltip_ability_imba_bloodseeker_thirst_Description"       "111"
"DOTA_Tooltip_ability_imba_bloodseeker_thirst_v2_Description"       "111"
"DOTA_Tooltip_ability_imba_bloodseeker_rupture"       "割裂"
"DOTA_Tooltip_ability_imba_bloodseeker_rupture_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_1_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_2_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_3_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_4_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_5_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_6_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_7_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_8_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_9_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bloodseeker_rupture_cast_range_Description"       "111"
"DOTA_Tooltip_ability_imba_brewmaster_thunder_clap"       "雷霆一击"
"DOTA_Tooltip_ability_imba_brewmaster_thunder_clap_Description"       "111"
"DOTA_Tooltip_ability_imba_brewmaster_cinder_brew"       "余烬佳酿"
"DOTA_Tooltip_ability_imba_brewmaster_cinder_brew_Description"       "111"
"DOTA_Tooltip_ability_imba_brewmaster_drunken_brawler"       "醉拳"
"DOTA_Tooltip_ability_imba_brewmaster_drunken_brawler_Description"       "111"
"DOTA_Tooltip_ability_imba_brewmaster_primal_split"       "元素分离"
"DOTA_Tooltip_ability_imba_brewmaster_primal_split_Description"       "111"
"DOTA_Tooltip_ability_imba_brewmaster_primal_unison_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_brewmaster_thunder_clap_slow_duration_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_brewmaster_primal_split_health_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_brewmaster_druken_brawler_damage_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_brewmaster_primal_split_cooldown_Description"       "111"
"DOTA_Tooltip_ability_imba_bristleback_viscous_nasal_goo"       "粘稠鼻液"
"DOTA_Tooltip_ability_imba_bristleback_viscous_nasal_goo_Description"       "111"
"DOTA_Tooltip_ability_imba_bristleback_quill_spray"       "刺针扫射"
"DOTA_Tooltip_ability_imba_bristleback_quill_spray_Description"       "111"
"DOTA_Tooltip_ability_imba_bristleback_bristleback"       "钢毛后背"
"DOTA_Tooltip_ability_imba_bristleback_bristleback_Description"       "111"
"DOTA_Tooltip_ability_imba_bristleback_warpath"       "战意"
"DOTA_Tooltip_ability_imba_bristleback_warpath_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_bristleback_3_Description"       "111"
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift"       "实相裂隙"
"DOTA_Tooltip_ability_imba_chaos_knight_reality_rift_Description"       "111"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm"       "混沌之军"
"DOTA_Tooltip_ability_imba_chaos_knight_phantasm_Description"       "111"
"DOTA_Tooltip_ability_imba_chen_penitence"       "未定义"
"DOTA_Tooltip_ability_imba_chen_penitence_Description"       "111"
"DOTA_Tooltip_ability_imba_chen_test_of_faith_Description"       "111"
"DOTA_Tooltip_ability_imba_chen_divine_favor"       "神力恩泽"
"DOTA_Tooltip_ability_imba_chen_divine_favor_Description"       "111"
"DOTA_Tooltip_ability_imba_chen_holy_persuasion"       "神圣劝化"
"DOTA_Tooltip_ability_imba_chen_holy_persuasion_Description"       "111"
"DOTA_Tooltip_ability_imba_chen_hand_of_god"       "上帝之手"
"DOTA_Tooltip_ability_imba_chen_hand_of_god_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_chen_divine_favor_cd_reduction_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_chen_test_of_faith_cd_reduction_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_chen_holy_persuasion_max_unit_increase_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_chen_remnants_of_penitence_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_chen_divine_favor_hand_of_god_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_chen_hand_of_god_cooldown_Description"       "111"
"DOTA_Tooltip_ability_imba_dark_seer_vacuum"       "真空"
"DOTA_Tooltip_ability_imba_dark_seer_vacuum_Description"       "111"
"DOTA_Tooltip_ability_imba_dark_seer_wormhole_Description"       "111"
"DOTA_Tooltip_ability_imba_dark_seer_ion_shell"       "离子外壳"
"DOTA_Tooltip_ability_imba_dark_seer_ion_shell_Description"       "111"
"DOTA_Tooltip_ability_imba_dark_seer_surge"       "未定义"
"DOTA_Tooltip_ability_imba_dark_seer_surge_Description"       "111"
"DOTA_Tooltip_ability_imba_dark_seer_close_portal_Description"       "111"
"DOTA_Tooltip_ability_imba_dark_seer_wall_of_replica"       "复制之墙"
"DOTA_Tooltip_ability_imba_dark_seer_wall_of_replica_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_dark_seer_surge_cast_range_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_dark_seer_vacuum_increased_duration_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_dark_seer_wall_of_replica_increased_slow_duration_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_dark_seer_ion_shell_damage_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_dark_seer_ion_shell_radius_Description"       "111"
"DOTA_Tooltip_ability_imba_death_prophet_silence"       "沉默魔法"
"DOTA_Tooltip_ability_imba_death_prophet_silence_Description"       "111"
"DOTA_Tooltip_ability_imba_doom_bringer_doom"       "末日"
"DOTA_Tooltip_ability_imba_doom_bringer_doom_Description"       "111"
"DOTA_Tooltip_ability_imba_earthshaker_echo_slam"       "未定义"
"DOTA_Tooltip_ability_imba_earthshaker_echo_slam_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earthshaker_bonus_magic_resistance_Description"       "111"
"DOTA_Tooltip_ability_imba_earth_spirit_stone_caller"       "残岩"
"DOTA_Tooltip_ability_imba_earth_spirit_stone_caller_Description"       "111"
"DOTA_Tooltip_ability_imba_earth_spirit_boulder_smash"       "巨石冲击"
"DOTA_Tooltip_ability_imba_earth_spirit_boulder_smash_Description"       "111"
"DOTA_Tooltip_ability_imba_earth_spirit_rolling_boulder"       "巨石翻滚"
"DOTA_Tooltip_ability_imba_earth_spirit_rolling_boulder_Description"       "111"
"DOTA_Tooltip_ability_imba_earth_spirit_geomagnetic_grip"       "地磁之握"
"DOTA_Tooltip_ability_imba_earth_spirit_geomagnetic_grip_Description"       "111"
"DOTA_Tooltip_ability_imba_earth_spirit_magnetize"       "未定义"
"DOTA_Tooltip_ability_imba_earth_spirit_magnetize_Description"       "111"
"DOTA_Tooltip_ability_imba_earth_spirit_petrify"       "未定义"
"DOTA_Tooltip_ability_imba_earth_spirit_petrify_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_1_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_2_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_3_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_4_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_5_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_6_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_7_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_8_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_geomagnetic_grip_silence_duration_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_earth_spirit_magnetize_unpurgable_Description"       "111"
"DOTA_Tooltip_ability_imba_ember_spirit_searing_chains"       "未定义"
"DOTA_Tooltip_ability_imba_ember_spirit_searing_chains_Description"       "111"
"DOTA_Tooltip_ability_imba_ember_spirit_sleight_of_fist"       "无影拳"
"DOTA_Tooltip_ability_imba_ember_spirit_sleight_of_fist_Description"       "111"
"DOTA_Tooltip_ability_imba_ember_spirit_flame_guard"       "烈火罩"
"DOTA_Tooltip_ability_imba_ember_spirit_flame_guard_Description"       "111"
"DOTA_Tooltip_ability_imba_ember_spirit_activate_fire_remnant"       "未定义"
"DOTA_Tooltip_ability_imba_ember_spirit_activate_fire_remnant_Description"       "111"
"DOTA_Tooltip_ability_imba_ember_spirit_fire_remnant"       "残焰"
"DOTA_Tooltip_ability_imba_ember_spirit_fire_remnant_Description"       "111"
"DOTA_Tooltip_ability_imba_enchantress_untouchable"       "不可侵犯"
"DOTA_Tooltip_ability_imba_enchantress_untouchable_Description"       "111"
"DOTA_Tooltip_ability_imba_enchantress_impetus_723_Description"       "111"
"DOTA_Tooltip_ability_imba_enchantress_enchant"       "魅惑"
"DOTA_Tooltip_ability_imba_enchantress_enchant_Description"       "111"
"DOTA_Tooltip_ability_imba_enchantress_natures_attendants"       "自然之助"
"DOTA_Tooltip_ability_imba_enchantress_natures_attendants_Description"       "111"
"DOTA_Tooltip_ability_imba_enchantress_natura_shift_Description"       "111"
"DOTA_Tooltip_ability_imba_enchantress_impetus"       "推进"
"DOTA_Tooltip_ability_imba_enchantress_impetus_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_1_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_2_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_3_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_4_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_5_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_6_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_7_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_8_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_enchantress_9_Description"       "111"
"DOTA_Tooltip_ability_imba_faceless_void_time_walk"       "时间漫游"
"DOTA_Tooltip_ability_imba_faceless_void_time_walk_Description"       "111"
"DOTA_Tooltip_ability_imba_faceless_void_time_walk_reverse"       "未定义"
"DOTA_Tooltip_ability_imba_faceless_void_time_walk_reverse_Description"       "111"
"DOTA_Tooltip_ability_imba_faceless_void_time_dilation"       "未定义"
"DOTA_Tooltip_ability_imba_faceless_void_time_dilation_Description"       "111"
"DOTA_Tooltip_ability_imba_faceless_void_time_lock"       "时间锁定"
"DOTA_Tooltip_ability_imba_faceless_void_time_lock_Description"       "111"
"DOTA_Tooltip_ability_imba_faceless_void_time_lock_720_Description"       "111"
"DOTA_Tooltip_ability_imba_faceless_void_timelord_Description"       "111"
"DOTA_Tooltip_ability_imba_faceless_void_chronosphere"       "时间结界"
"DOTA_Tooltip_ability_imba_faceless_void_chronosphere_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_1_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_2_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_3_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_4_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_5_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_6_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_7_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_8_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_9_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_10_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_11_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_faceless_void_12_Description"       "111"
"DOTA_Tooltip_ability_imba_furion_sprout"       "发芽"
"DOTA_Tooltip_ability_imba_furion_sprout_Description"       "111"
"DOTA_Tooltip_ability_imba_furion_teleportation"       "传送"
"DOTA_Tooltip_ability_imba_furion_teleportation_Description"       "111"
"DOTA_Tooltip_ability_imba_furion_force_of_nature"       "自然的呼唤"
"DOTA_Tooltip_ability_imba_furion_force_of_nature_Description"       "111"
"DOTA_Tooltip_ability_imba_furion_wrath_of_nature"       "自然之怒"
"DOTA_Tooltip_ability_imba_furion_wrath_of_nature_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_furion_wrath_of_nature_boost_Description"       "111"
"DOTA_Tooltip_ability_imba_grimstroke_dark_artistry"       "命运之笔"
"DOTA_Tooltip_ability_imba_grimstroke_dark_artistry_Description"       "111"
"DOTA_Tooltip_ability_imba_grimstroke_ink_creature"       "幻影之拥"
"DOTA_Tooltip_ability_imba_grimstroke_ink_creature_Description"       "111"
"DOTA_Tooltip_ability_imba_grimstroke_spirit_walk"       "墨涌"
"DOTA_Tooltip_ability_imba_grimstroke_spirit_walk_Description"       "111"
"DOTA_Tooltip_ability_imba_grimstroke_ink_gods_incarnation_Description"       "111"
"DOTA_Tooltip_ability_imba_grimstroke_soul_chain"       "未定义"
"DOTA_Tooltip_ability_imba_grimstroke_soul_chain_Description"       "111"
"DOTA_Tooltip_ability_imba_grimstroke_soul_chain_vanilla_enhancer_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_grimstroke_phantoms_embrace_extra_hits_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_grimstroke_stroke_of_fate_cast_range_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_grimstroke_stroke_of_fate_damage_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_grimstroke_ink_swell_radius_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_grimstroke_ink_swell_max_damage_Description"       "111"
"DOTA_Tooltip_ability_imba_gyrocopter_rocket_barrage"       "火箭弹幕"
"DOTA_Tooltip_ability_imba_gyrocopter_rocket_barrage_Description"       "111"
"DOTA_Tooltip_ability_imba_gyrocopter_homing_missile"       "追踪导弹"
"DOTA_Tooltip_ability_imba_gyrocopter_homing_missile_Description"       "111"
"DOTA_Tooltip_ability_imba_gyrocopter_flak_cannon"       "高射火炮"
"DOTA_Tooltip_ability_imba_gyrocopter_flak_cannon_Description"       "111"
"DOTA_Tooltip_ability_imba_gyrocopter_gatling_guns_Description"       "111"
"DOTA_Tooltip_ability_imba_gyrocopter_call_down"       "未定义"
"DOTA_Tooltip_ability_imba_gyrocopter_call_down_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_gyrocopter_rocket_barrage_damage_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_gyrocopter_homing_missile_stun_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_gyrocopter_flak_cannon_attacks_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_gyrocopter_call_down_cooldown_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_gyrocopter_gatling_guns_activate_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_gyrocopter_homing_missile_charges_Description"       "111"
"DOTA_Tooltip_ability_imba_huskar_inner_vitality_Description"       "111"
"DOTA_Tooltip_ability_imba_huskar_inner_fire"       "心炎"
"DOTA_Tooltip_ability_imba_huskar_inner_fire_Description"       "111"
"DOTA_Tooltip_ability_imba_huskar_burning_spear"       "沸血之矛"
"DOTA_Tooltip_ability_imba_huskar_burning_spear_Description"       "111"
"DOTA_Tooltip_ability_imba_huskar_berserkers_blood"       "狂战士之血"
"DOTA_Tooltip_ability_imba_huskar_berserkers_blood_Description"       "111"
"DOTA_Tooltip_ability_imba_huskar_life_break"       "牺牲"
"DOTA_Tooltip_ability_imba_huskar_life_break_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_huskar_life_break_cast_range_Description"       "111"
"DOTA_Tooltip_ability_special_bonus_imba_huskar_pure_burning_spears_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_quas"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_quas_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_wex"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_wex_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_exort"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_exort_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_invoke"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_invoke_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_emp"       "电磁脉冲"
"DOTA_Tooltip_ability_imba_invoker_emp_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_sun_strike"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_sun_strike_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_cold_snap"       "急速冷却"
"DOTA_Tooltip_ability_imba_invoker_cold_snap_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_ghost_walk"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_ghost_walk_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_alacrity"       "灵动迅捷"
"DOTA_Tooltip_ability_imba_invoker_alacrity_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_forge_spirit"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_forge_spirit_Description"       "111"
"DOTA_Tooltip_ability_imba_forged_spirit_melting_strike_Description"       "111"
"DOTA_Tooltip_ability_imba_forged_spirit_death_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_tornado"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_tornado_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_ice_wall"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_ice_wall_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_chaos_meteor_Description"       "111"
"DOTA_Tooltip_ability_imba_invoker_deafening_blast"       "未定义"
"DOTA_Tooltip_ability_imba_invoker_deafening_blast_Description"       "111"
"DOTA_Tooltip_ability_imba_special_bonus_unique_invoker_1_Description"       "111"
"DOTA_Tooltip_ability_imba_special_bonus_unique_invoker_2_Description"       "111"
"DOTA_Tooltip_ability_imba_special_bonus_unique_invoker_3_Description"       "111"
"DOTA_Tooltip_ability_imba_special_bonus_unique_invoker_4_Description"       "111"
