"building_hero_abaddon"       "亚巴顿"
"building_hero_lina"       "莉娜"
"building_hero_lion"       "莱恩"
"building_hero_lone_druid"       "德鲁伊"
"building_hero_luna"       "露娜"
"building_hero_lycan"       "狼人"
"building_hero_magnataur"       "马格纳斯"
"building_hero_marci"       "玛西"
"building_hero_mars"       "马尔斯"
"building_hero_medusa"       "美杜莎"
"building_hero_meepo"       "米波"
"building_hero_mirana"       "米拉娜"
"building_hero_monkey_king"       "大圣"
"building_hero_morphling"       "水人"
"building_hero_naga_siren"       "娜迦海妖"
"building_hero_necrolyte"       "瘟疫法师"
"building_hero_nevermore"       "影魔"
"building_hero_night_stalker"       "暗夜魔王"
"building_hero_nyx_assassin"       "小强"
"building_hero_obsidian_destroyer"       "黑鸟"
"building_hero_ogre_magi"       "食人魔魔法师"
"building_hero_omniknight"       "全能骑士"
"building_hero_oracle"       "神谕者"
"building_hero_pangolier"       "石鳞剑士"
"building_hero_phantom_assassin"       "幻影刺客"
"building_hero_phantom_lancer"       "幻影长矛手"
"building_hero_phoenix"       "凤凰"
"building_hero_primal_beast"       "獸"
"building_hero_puck"       "帕克"
"building_hero_pudge"       "屠夫"
"building_hero_pugna"       "帕格纳"
"building_hero_queenofpain"       "痛苦女王"
"building_hero_rattletrap"       "发条地精"
"building_hero_razor"       "电棍"
"building_hero_riki"       "力丸"
"building_hero_rubick"       "拉比克"
"building_hero_sand_king"       "沙王"
"building_hero_shadow_demon"       "暗影恶魔"
"building_hero_shadow_shaman"       "小Y"
"building_hero_shredder"       "伐木机"
"building_hero_silencer"       "沉默术士"
"building_hero_skeleton_king"       "骷髅王"
"building_hero_skywrath_mage"       "天怒法师"
"building_hero_slardar"       "斯拉达"
"building_hero_slark"       "斯拉克"
"building_hero_snapfire"       "电炎绝手"
"building_hero_sniper"       "狙击手"
"building_hero_spectre"       "幽鬼"
"building_hero_spirit_breaker"       "裂魂人"
"building_hero_storm_spirit"       "风暴之灵"
"building_hero_sven"       "斯文"
"building_hero_target_dummy"       "傀儡目标"
"building_hero_techies"       "地精工程师"
"building_hero_templar_assassin"       "圣堂刺客"
"building_hero_terrorblade"       "灵魂守卫"
"building_hero_tidehunter"       "潮汐猎人"
"building_hero_tinker"       "修补匠"
"building_hero_tiny"       "小小"
"building_hero_treant"       "大树"
"building_hero_troll_warlord"       "巨魔战将"
"building_hero_tusk"       "海民"
"building_hero_undying"       "不朽尸王"
"building_hero_ursa"       "熊战士"
"building_hero_vengefulspirit"       "复仇之魂"
"building_hero_venomancer"       "剧毒术士"
"building_hero_viper"       "冥界亚龙"
"building_hero_visage"       "维萨吉"
"building_hero_void_spirit"       "虚无之灵"
"building_hero_warlock"       "术士"
"building_hero_weaver"       "编织者"
"building_hero_windrunner"       "风行者"
"building_hero_winter_wyvern"       "冰霜巨龙"
"building_hero_wisp"       "艾欧"
"building_hero_witch_doctor"       "巫医"
"building_hero_zeus"       "宙斯"
"building_hero_t01"       "夜魇近战兵"
"building_hero_t02"       "夜魇远程兵"
"building_hero_t03"       "狂暴枭兽"
"building_hero_t04"       "死灵幽魂"
"building_hero_t05"       "天辉近战兵"
"building_hero_t06"       "天辉远程兵"
"building_hero_t07"       "萨特·地狱使者"
"building_hero_t08"       "风暴巫师"
"building_hero_t10"       "半人马酋长"
"building_hero_t11"       "黑暗巨魔萨满"
"building_hero_t12"       "食人魔棒槌手"
"building_hero_t15"       "狗头人奴隶主"
"building_hero_t16"       "雷肤兽"
"building_hero_t17"       "森林巨魔巫师"
"building_hero_t19"       "狂暴熊怪"
"building_hero_t21"       "虚灵守卫"
"building_hero_t22"       "魔火精灵"
"building_hero_t23"       "恐怖之狼"
"building_hero_t25"       "恶魔之魂"
"building_hero_t27"       "风元素使"
"building_hero_t28"       "土元素使"
"building_hero_t29"       "火元素使"
"building_hero_t34"       "花岗石傀儡"
"building_hero_t35"       "地狱火"
"building_hero_t36"       "远古黑龙"
"building_hero_t37"       "虚无元素使"
"building_hero_t41"       "巨魔勇士"
"building_unit_mango_tree"       "芒果树"
"building_hero_spirit_bear"       "熊灵"
