"building_enemy_1"       "狗头人士兵"
"building_enemy_wordless_book_2"       "心魔2"
"building_enemy_wordless_book_3"       "心魔3"
"building_enemy_wordless_book_4"       "心魔4"
"building_enemy_wordless_book_5"       "心魔5"
"building_enemy_wordless_book_6"       "心魔6"
"building_enemy_wordless_book_7"       "心魔7"
"building_enemy_wordless_book_8"       "心魔8"
"building_enemy_wordless_book_9"       "心魔9"
"building_enemy_wordless_book_10"       "心魔10"
"building_enemy_wordless_scepter_1"       "恶魔1"
"building_enemy_wordless_scepter_2"       "恶魔1"
"building_enemy_wordless_scepter_3"       "恶魔1"
"building_enemy_wordless_scepter_4"       "恶魔1"
"building_enemy_wordless_scepter_5"       "恶魔1"
"building_enemy_wordless_scepter_6"       "恶魔1"
"building_enemy_wordless_scepter_7"       "恶魔1"
"building_enemy_wordless_scepter_8"       "恶魔1"
"building_enemy_wordless_scepter_9"       "恶魔1"
"building_enemy_wordless_scepter_10"       "恶魔1"
"building_enemy_treasure_challenge_1"       "练气boss1"
"building_enemy_treasure_challenge_2"       "练气boss2"
"building_enemy_treasure_challenge_3"       "练气boss3"
"building_enemy_treasure_challenge_4"       "练气boss4"
"building_enemy_treasure_challenge_5"       "练气boss5"
"building_enemy_treasure_challenge_6"       "练气boss6"
"building_enemy_treasure_challenge_7"       "练气boss7"
"building_enemy_treasure_challenge_8"       "练气boss8"
"building_enemy_treasure_challenge_9"       "练气boss9"
"building_enemy_treasure_challenge_10"       "练气boss10"
"building_enemy_treasure_challenge_11"       "炼体boss1"
"building_enemy_treasure_challenge_12"       "炼体boss2"
"building_enemy_treasure_challenge_13"       "炼体boss3"
"building_enemy_treasure_challenge_14"       "炼体boss4"
"building_enemy_treasure_challenge_15"       "炼体boss5"
"building_enemy_treasure_challenge_16"       "炼体boss6"
"building_enemy_treasure_challenge_17"       "炼体boss7"
"building_enemy_treasure_challenge_18"       "炼体boss8"
"building_enemy_treasure_challenge_19"       "炼体boss9"
"building_enemy_treasure_challenge_20"       "炼体boss10"
"building_enemy_treasure_hunt_1_1"       "挖宝1-1"
"building_enemy_treasure_hunt_1_2"       "挖宝1-2"
"building_enemy_treasure_hunt_2"       "挖宝2"
"building_enemy_treasure_hunt_3"       "挖宝3"
"building_enemy_team_boss_1"       "团队1"
"building_enemy_team_boss_2"       "团队2"
"building_enemy_team_boss_3"       "团队3"
"building_enemy_team_boss_4"       "团队4"
"building_enemy_enemy_death_split_golem"       "岩石傀儡"
"building_enemy_enemy_raise_dead_skeleton"       "骷髅战士"
"building_enemy_boss_summon_wildwings_wildwing"       "枭兽"
"building_enemy_boss_gates_of_hell_1"       "收割者"
"building_enemy_boss_gates_of_hell_2"       "统治者"
"building_enemy_boss_gates_of_hell_3"       "狱火骷髅"
"building_enemy_chest_monster_1"       "技能书怪"
"building_enemy_chest_monster_2"       "装备怪"
"building_enemy_chest_monster_3"       "碎片怪"
"building_enemy_chest_monster_4"       "高级碎片怪"
"building_enemy_chest_monster_5"       "圣诞树怪"
"building_enemy_chest_monster_6"       "资源箱"
"building_enemy_post_game_1"       "鬼门关-狼人"
"building_enemy_post_game_2"       "鬼门关-剑圣"
"building_enemy_post_game_3"       "鬼门关-末日"
"building_enemy_post_game_4"       "黄泉路-屠夫"
"building_enemy_post_game_5"       "黄泉路-骷髅王"
"building_enemy_post_game_6"       "黄泉路-德鲁伊"
"building_enemy_post_game_7"       "黄泉路-德鲁伊的熊"
"building_enemy_post_game_8"       "奈何桥-斧王"
"building_enemy_post_game_9"       "奈何桥-小狗"
"building_enemy_post_game_10"       "奈何桥-影魔"
"building_enemy_post_game_11"       "忘川河-尸王"
"building_enemy_post_game_12"       "忘川河-nec"
"building_enemy_post_game_13"       "忘川河-viper"
"building_enemy_chest_monster_challenge"       "宝箱怪"
